case_number,court,year,month,pdf_url,civilian_judge,military_judge
OA 558 of 2014,CHANDIGARH,2015,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2015/OA%20558%20of%202014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA 788 of 2014,CHANDIGARH,2015,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2015/OA%20788%20of%202014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA 1642 of 2013,CHANDIGARH,2015,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2015/OA%201642%20of%202013.pdf,surinder singh thakur,lt. gen. ds sidhu
OA 4586 of 2013,CHANDIGARH,2015,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2015/OA%204586%20of%202013.pdf,surinder singh thakur,lt. gen. ds sidhu
TA 92 of 2012,CHANDIGARH,2015,04,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/april2015/TA%2092%20of%202012.pdf,surinder singh thakur,lt. gen. ds sidhu
TA 468 of 2010,CHANDIGARH,2015,04,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/april2015/TA%20468%20of%202010.pdf,surinder singh thakur,lt. gen. ds sidhu
TA 661 of 2010,CHANDIGARH,2015,04,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/april2015/TA%20661%20of%202010.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_15_of_2014,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_15_of_2014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_395_of_2015,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_395_of_2015.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_653_of_2014,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_653_of_2014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_662_of_2014_,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_662_of_2014_.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_1073_of_2014,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_1073_of_2014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_1252_of_2014,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_1252_of_2014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_1296_of_2014,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_1296_of_2014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_1301_of_2012,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_1301_of_2012.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_1303_of_2014,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_1303_of_2014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_1568_of_2013,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_1568_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_1590_of_2014,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_1590_of_2014.pdf,surinder singh thakur,lt. gen. ds sidhu
